et,c,lat,long,fat
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.573611,29.045,0
Battle-No change of territory,Democratic Republic of the Congo,-1.573611,29.045,1
Battle-No change of territory,Democratic Republic of the Congo,-5.063603,22.848144,1
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,2
Battle-No change of territory,Democratic Republic of the Congo,-0.407444,29.078131,5
Battle-No change of territory,Democratic Republic of the Congo,-5.666213,15.37431,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-1.016667,28.7,1
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,2
Battle-No change of territory,Democratic Republic of the Congo,4.6641,20.135538,0
