OBJECTID,ISO,flood.freq.mean,drought.freq.mean
1706,DZA,4,9
1707,DZA,7,8
1708,DZA,1,10
1709,DZA,1,9
1710,DZA,1,10
1711,DZA,1,9
1712,DZA,1.428571429,9
1713,DZA,1,9
1714,DZA,4,9
1715,DZA,1.272727273,9
1716,DZA,1,10
1717,DZA,7,0
1718,DZA,7,0
1719,DZA,7,0
1720,DZA,7,0
1721,DZA,1,10
1722,DZA,4,9
1723,DZA,7,0
1724,DZA,7,0
1725,DZA,1,10
1726,DZA,1,10
1727,DZA,7,0
1728,DZA,1,10
1729,DZA,1,9
1730,DZA,4,9
1731,DZA,4,9
1732,DZA,4,9
1733,DZA,7,0
1734,DZA,1,9
1735,DZA,7,0
1736,DZA,4,9
1737,DZA,7,8
1738,DZA,4,9
1739,DZA,1,10
1740,DZA,7,0
1741,DZA,4,9
1742,DZA,1,8.814949912
1743,DZA,4,9
1744,DZA,4,9
1745,DZA,7,0
1746,DZA,0.8,6.296296296
1747,DZA,1,9
1748,DZA,1,10
1749,DZA,7,0
1750,DZA,1,9
1751,DZA,1,10
1752,DZA,1,9
1753,DZA,1,9
1754,DZA,1,9
1755,DZA,1,10
1756,DZA,1,9
1757,DZA,1,10
1758,DZA,1,8.75
1759,DZA,7,0
1760,DZA,0.772727273,6
1761,DZA,1,9
1762,DZA,4,9
1763,DZA,7,0
1764,DZA,4,9
1765,DZA,4,9
1766,DZA,7,0
1767,DZA,4,9
1768,DZA,7,0
1769,DZA,1,10
1770,DZA,7,0
1771,DZA,4,9.222222222
1772,DZA,7,8
1773,DZA,0.7,4.95
1774,DZA,0.888888889,6.666666667
1775,DZA,1,10
1776,DZA,4,9
1777,DZA,2,9
1778,DZA,7,0
1779,DZA,7,0
1780,DZA,1,10
1781,DZA,1,10
1782,DZA,7,8
1783,DZA,1,10
1784,DZA,1,10
1785,DZA,1,9
1786,DZA,1,10
1787,DZA,4,9
1788,DZA,1,9
1789,DZA,7,0
1790,DZA,1,10
1791,DZA,7,8
1792,DZA,4,9
1793,DZA,1,9
1794,DZA,1,9
1795,DZA,7,0
1796,DZA,7,2.285714286
1797,DZA,1,10
1798,DZA,1,9
1799,DZA,1,10
1800,DZA,1,10
1801,DZA,0,0
1802,DZA,0,0
1803,DZA,0,0
1804,DZA,0,0
1805,DZA,0,0
1806,DZA,0,0
1807,DZA,7,0.5
1808,DZA,7,0
1809,DZA,7,0
1810,DZA,4,9
1811,DZA,4,9
1812,DZA,1,10
1813,DZA,1,9
1814,DZA,7,0
1815,DZA,7,0
1816,DZA,7,8
1817,DZA,1,9
1818,DZA,7,0
1819,DZA,4,9
1820,DZA,1,9
1821,DZA,1,9
1822,DZA,1,10
1823,DZA,4,9
1824,DZA,4,9
1825,DZA,4,9
1826,DZA,4,9
1827,DZA,7,8
1828,DZA,1,10
1829,DZA,7,0
1830,DZA,1,10
1831,DZA,1,10
1832,DZA,7,0
1833,DZA,4,9
1834,DZA,3.52,9
1835,DZA,1,10
1836,DZA,7,0
1837,DZA,7,0
1838,DZA,7,0
1839,DZA,7,8
1840,DZA,7,0
1841,DZA,1,10
1842,DZA,7,0
1843,DZA,1,10
1844,DZA,0.794117647,6.387096774
1845,DZA,0.9375,8.357142857
1846,DZA,1,10
1847,DZA,7,0
1848,DZA,1,9
1849,DZA,4,9
1850,DZA,4,9
1851,DZA,7,0
1852,DZA,4,9
