OBJECTID,ISO,NAME,BATTLES,SUMfat,MEANfat
1401,DZA,Algeria,0,0,0
1402,DZA,Algeria,0,0,0
1403,DZA,Algeria,0,0,0
1404,DZA,Algeria,1,1,1
1405,DZA,Algeria,1,2,2
1406,DZA,Algeria,0,0,0
1407,DZA,Algeria,0,0,0
1408,DZA,Algeria,0,0,0
1409,DZA,Algeria,0,0,0
1410,DZA,Algeria,0,0,0
1411,DZA,Algeria,1,0,0
1412,DZA,Algeria,0,0,0
1413,DZA,Algeria,0,0,0
1414,DZA,Algeria,0,0,0
1415,DZA,Algeria,0,0,0
1416,DZA,Algeria,0,0,0
1417,DZA,Algeria,0,0,0
1418,DZA,Algeria,0,0,0
1419,DZA,Algeria,0,0,0
1420,DZA,Algeria,0,0,0
1421,DZA,Algeria,0,0,0
1422,DZA,Algeria,0,0,0
1423,DZA,Algeria,0,0,0
1424,DZA,Algeria,0,0,0
1425,DZA,Algeria,0,0,0
1426,DZA,Algeria,0,0,0
1427,DZA,Algeria,0,0,0
1428,DZA,Algeria,0,0,0
1429,DZA,Algeria,0,0,0
1430,DZA,Algeria,0,0,0
1431,DZA,Algeria,0,0,0
1432,DZA,Algeria,0,0,0
1433,DZA,Algeria,0,0,0
1434,DZA,Algeria,0,0,0
1435,DZA,Algeria,0,0,0
1436,DZA,Algeria,0,0,0
1437,DZA,Algeria,0,0,0
1438,DZA,Algeria,0,0,0
1439,DZA,Algeria,0,0,0
1440,DZA,Algeria,0,0,0
1441,DZA,Algeria,3,7,2.333333333
1442,DZA,Algeria,0,0,0
1443,DZA,Algeria,0,0,0
1444,DZA,Algeria,0,0,0
1445,DZA,Algeria,0,0,0
1446,DZA,Algeria,0,0,0
1447,DZA,Algeria,0,0,0
1448,DZA,Algeria,0,0,0
1449,DZA,Algeria,0,0,0
1450,DZA,Algeria,0,0,0
1451,DZA,Algeria,0,0,0
1452,DZA,Algeria,0,0,0
1453,DZA,Algeria,0,0,0
1454,DZA,Algeria,0,0,0
1455,DZA,Algeria,0,0,0
1456,DZA,Algeria,0,0,0
1457,DZA,Algeria,0,0,0
1458,DZA,Algeria,0,0,0
1459,DZA,Algeria,0,0,0
1460,DZA,Algeria,0,0,0
1461,DZA,Algeria,0,0,0
1462,DZA,Algeria,0,0,0
1463,DZA,Algeria,0,0,0
1464,DZA,Algeria,0,0,0
1465,DZA,Algeria,0,0,0
1466,DZA,Algeria,0,0,0
1467,DZA,Algeria,0,0,0
1468,DZA,Algeria,0,0,0
1469,DZA,Algeria,0,0,0
1470,DZA,Algeria,0,0,0
1471,DZA,Algeria,0,0,0
1472,DZA,Algeria,0,0,0
1473,DZA,Algeria,0,0,0
1474,DZA,Algeria,0,0,0
1475,DZA,Algeria,0,0,0
1476,DZA,Algeria,0,0,0
1477,DZA,Algeria,0,0,0
1478,DZA,Algeria,0,0,0
1479,DZA,Algeria,0,0,0
1480,DZA,Algeria,0,0,0
1481,DZA,Algeria,0,0,0
1482,DZA,Algeria,0,0,0
1483,DZA,Algeria,0,0,0
1484,DZA,Algeria,0,0,0
1485,DZA,Algeria,0,0,0
1486,DZA,Algeria,0,0,0
1487,DZA,Algeria,0,0,0
1488,DZA,Algeria,0,0,0
1489,DZA,Algeria,0,0,0
1490,DZA,Algeria,0,0,0
1491,DZA,Algeria,0,0,0
1492,DZA,Algeria,0,0,0
1493,DZA,Algeria,0,0,0
1494,DZA,Algeria,0,0,0
1495,DZA,Algeria,0,0,0
1496,DZA,Algeria,0,0,0
1497,DZA,Algeria,0,0,0
1498,DZA,Algeria,0,0,0
1499,DZA,Algeria,0,0,0
1500,DZA,Algeria,0,0,0
1501,DZA,Algeria,0,0,0
1502,DZA,Algeria,0,0,0
1503,DZA,Algeria,0,0,0
1504,DZA,Algeria,0,0,0
